Instance,MM estimated,MM linear,MM expo,KMM linear,KMM expo
bur26a,1.287,1.54,1.6,0.11,0.099
bur26b,1.369,1.62,1.562,0.175,0.143
bur26c,1.691,1.969,2.231,0.007,0.007
bur26d,1.771,2.165,2.266,0.006,0.006
nug17,8.389,9.48,9.977,0.098,0.104
nug18,9.207,10.254,10.705,0.425,0.352
nug20,10.564,10.879,10.751,0.179,0.089
nug21,12.613,13.38,13.958,0.189,0.176
tai10a,3.295,2.953,3.642,0,0
tai10b,1.804,2.435,2.91,0,0
tai12a,8.232,8.766,9.319,0,0.14
tai12b,4.249,4.997,5.156,0,0
tai15a,7.452,8.061,8.44,0.117,0.158
tai15b,0.982,0.926,0.796,0.035,0.028
tai20a,11.732,11.888,12.823,1.213,0.765
tai20b,8.998,8.872,9.435,0.045,0.068
tai25a,12.168,13.088,13.481,1.829,1.227
tai25b,23.289,29.686,30.98,0.096,0.059
tai30a,11.836,12.199,12.463,2.026,1.171
tai30b,24.577,29.985,33.999,0.073,0.076
tai35a,12.826,13.369,13.626,2.282,1.553
tai35b,25.029,26.934,29.313,0.339,0.38
tai40a,13.052,13.572,13.837,2.626,1.727
tai40b,33.181,35.32,36.718,1.078,0.972
