Instance,Hamming KMM,Kendall MM,Kendall KMM,Kendall MGMM ,Kendall GMM,Cayley MM,Cayley KMM,Cayley MGMM,Cayley GMM,Ulam MM,Placket-Luce
bur26a,0.099,1.937,2.453,1.955,1.746,0.359,0.211,0.69,0.365,1.927,1.73
bur26b,0.143,2.008,2.353,1.998,1.461,0.482,0.305,0.603,0.465,1.977,1.68
bur26c,0.007,2.121,2.655,2.054,1.827,0.369,0.172,0.634,0.307,2.208,1.843
bur26d,0.006,2.352,2.872,2.233,1.882,0.37,0.168,0.695,0.355,2.114,1.89
nug17,0.104,9.174,12.535,9.284,7.771,4.706,2.154,6.68,3.147,10.133,7.442
nug18,0.352,8.881,12.746,10.306,8.316,4.689,2.948,6.161,3.684,11.109,8.057
nug20,0.089,9.603,11.961,8.541,7.759,5.195,1.844,2.977,3.214,12.183,11.043
nug21,0.176,12.252,12.613,12.137,10.738,5.722,2.695,7.859,3.38,14.861,13.819
tai10a,0,6.464,11.306,8.048,8.395,2.354,1.038,2.244,2.348,2.83,2.28
tai10b,0,7.025,15.845,7.279,6.327,1.032,1.44,1.483,2.324,3.185,2.836
tai12a,0.14,11.905,17.115,12.359,11.496,7.226,5.856,7.415,6.415,10.14,6.929
tai12b,0,11.716,21.591,13.287,11.565,5.046,3.551,8.264,6.414,7.655,6.757
tai15a,0.158,9.225,11.174,9.67,9.128,4.648,3.153,6.497,3.586,7.975,5.631
tai15b,0.028,1.279,1.536,1.224,0.997,0.528,0.369,0.749,0.411,1.171,0.743
tai20a,0.765,12.05,12.921,11.443,10.942,6.971,2.82,5.412,5.355,12.279,11.959
tai20b,0.068,13.348,32.965,12.735,12.788,5.112,5.322,2.345,2.646,9.987,6.912
tai25a,1.227,11.856,12.439,11.765,11.159,7.572,4.735,8.397,5.537,12.384,11.962
tai25b,0.059,24.2,56.513,30.102,22.254,6.071,5.456,10.529,4.692,26.831,20.214
tai30a,1.171,11.263,11.314,10.529,10.184,6.628,3.301,4.629,4.947,11.908,11.682
tai30b,0.076,29.1,45.465,27.863,21.636,9.282,7.843,10.025,11.077,25.096,22.984
tai35a,1.553,11.879,11.82,11.862,11.221,7.316,4.592,7.621,4.88,12.894,12.921
tai35b,0.38,24.583,36.41,29.819,21.667,7.083,5.976,9.532,5.346,25.999,25.32
tai40a,1.727,11.651,11.546,11.599,11.004,7.162,3.67,4.904,4.862,13.228,13.272
tai40b,0.972,30.422,44.129,33.423,25.576,10.729,8.421,6.97,8.703,33.815,33.436
