Instance,Hamming KMM,UMDA,MIMIC,EBNA,EHBSA WT,NHBSA WT,NHBSA WO,RK-EDA
bur26a,0.099,0.248,0.314,0.3,0.3266,0.0966,0.162,0.496
bur26b,0.143,0.325,0.3,0.364,0.3068,0.1366,0.235,0.554
bur26c,0.007,0.115,0.279,0.048,0.2201,0,0.023,0.321
bur26d,0.006,0.158,0.196,0.233,0.111,0.0006,0.014,0.315
nug17,0.104,2.425,3.487,1.917,2.1824,0.2425,1.697,2.875
nug18,0.352,2.249,2.788,3.244,2.3834,0.487,1.358,3.461
nug20,0.089,3.245,2.942,2.879,2.5914,0.4591,2.195,2.817
nug21,0.176,2.199,2.863,2.748,3.1665,0.1723,1.436,4.295
tai10a,0,3.585,3.742,3.528,0.6288,0,1.743,1.97
tai10b,0,1.694,1.196,1.343,0.0284,0,0.584,2.964
tai12a,0.14,4.579,6.596,5.067,2.597,0.2084,3.244,6.058
tai12b,0,3.348,4.272,3.355,0,0.1103,1.003,4.327
tai15a,0.158,3.943,4.099,2.496,2.4736,0.3924,2.104,4.486
tai15b,0.028,0.355,0.406,0.398,0.2947,0,0.154,0.626
tai20a,0.765,3.675,5.423,4.887,5.5391,2.4643,3.408,6.813
tai20b,0.068,1.634,4.613,6.458,1.8122,0.3689,3.52,4.371
tai25a,1.227,4.49,5.45,4.824,6.1444,3.6331,3.155,6.685
tai25b,0.059,3.634,3.006,4.308,1.2962,0.0822,1.068,3.531
tai30a,1.171,4.369,4.481,3.897,6.6322,3.9319,2.733,7.307
tai30b,0.076,5.686,10.925,4.974,1.1452,0.6808,8.084,5.999
tai35a,1.553,3.394,5.396,3.913,7.2457,4.7775,2.843,8.047
tai35b,0.38,4.095,6.015,3.616,2.6525,1.2603,3.118,4.506
tai40a,1.727,4.118,5.021,3.887,7.512,5.4682,3.049,8.279
tai40b,0.972,7.955,9.795,5.797,4.227,1.9438,6.28,3.633
