instances,algorithm,fitness,evaluations
G250.01,BF,98.5,77972
G250.01,G,145.0,625002
G250.01,EBF,101.0,90951
G250.01,EG,142.5,625002
G250.01,ES,97.0,125251
G250.01,EPNES,103.0,156845
G250.01-1,BF,96.0,187788
G250.01-1,G,137.0,625002
G250.01-1,EBF,93.0,194152
G250.01-1,EG,135.5,625002
G250.01-1,ES,93.5,164562
G250.01-1,EPNES,94.5,230258
G250.01-2,BF,100.5,148933
G250.01-2,G,152.5,625002
G250.01-2,EBF,101.5,139690
G250.01-2,EG,150.5,625002
G250.01-2,ES,104.0,148128
G250.01-2,EPNES,100.5,157903
G250.01-3,BF,90.0,189517
G250.01-3,G,124.0,625002
G250.01-3,EBF,86.0,95875
G250.01-3,EG,128.5,625002
G250.01-3,ES,91.0,123844
G250.01-3,EPNES,88.5,92292
G250.02,BF,239.5,236575
G250.02,G,315.5,625002
G250.02,EBF,241.5,283664
G250.02,EG,315.5,625002
G250.02,ES,240.5,129538
G250.02,EPNES,240.5,177389
G250.02-1,BF,236.5,256204
G250.02-1,G,316.5,625002
G250.02-1,EBF,236.5,258947
G250.02-1,EG,318.0,625002
G250.02-1,ES,238.5,163102
G250.02-1,EPNES,233.5,183610
G250.02-2,BF,238.5,174154
G250.02-2,G,314.5,625002
G250.02-2,EBF,239.0,243866
G250.02-2,EG,311.0,625002
G250.02-2,ES,239.5,305000
G250.02-2,EPNES,233.0,136806
G250.02-3,BF,235.5,179624
G250.02-3,G,302.0,625002
G250.02-3,EBF,237.0,268713
G250.02-3,EG,306.0,625002
G250.02-3,ES,237.0,299773
G250.02-3,EPNES,235.0,203697
G250.04,BF,634.0,157333
G250.04,G,760.5,625002
G250.04,EBF,635.0,220928
G250.04,EG,760.0,625002
G250.04,ES,640.0,206546
G250.04,EPNES,638.5,268322
G250.04-1,BF,604.5,300359
G250.04-1,G,723.0,625002
G250.04-1,EBF,607.0,263812
G250.04-1,EG,721.0,625002
G250.04-1,ES,598.5,364004
G250.04-1,EPNES,605.5,259897
G250.04-2,BF,617.5,297400
G250.04-2,G,741.0,625002
G250.04-2,EBF,625.0,241549
G250.04-2,EG,742.5,625002
G250.04-2,ES,622.5,297311
G250.04-2,EPNES,620.5,349867
G250.04-3,BF,637.0,353139
G250.04-3,G,767.5,625002
G250.04-3,EBF,640.0,347244
G250.04-3,EG,763.5,625002
G250.04-3,ES,642.5,348002
G250.04-3,EPNES,644.5,215268
G250.08,BF,1380.0,439001
G250.08,G,1551.5,625002
G250.08,EBF,1375.0,401229
G250.08,EG,1549.5,625002
G250.08,ES,1371.5,271403
G250.08,EPNES,1374.0,280311
G250.08-1,BF,1412.0,356922
G250.08-1,G,1602.0,625002
G250.08-1,EBF,1415.5,199228
G250.08-1,EG,1584.0,625002
G250.08-1,ES,1405.0,384565
G250.08-1,EPNES,1411.0,235969
G250.08-2,BF,1422.5,482756
G250.08-2,G,1608.0,625002
G250.08-2,EBF,1430.5,437427
G250.08-2,EG,1605.0,625002
G250.08-2,ES,1427.0,580173
G250.08-2,EPNES,1423.0,251577
G250.08-2,BF,1422.5,482756
G250.08-2,G,1608.0,625002
G250.08-2,EBF,1430.5,437427
G250.08-2,EG,1605.0,625002
G250.08-2,ES,1427.0,580173
G250.08-2,EPNES,1423.0,251577
G250.16,BF,3106.0,345826
G250.16,G,3332.5,625002
G250.16,EBF,3102.0,394160
G250.16,EG,3345.0,625002
G250.16,ES,3104.5,446326
G250.16,EPNES,3106.0,370653
G250.16-1,BF,3149.0,284869
G250.16-1,G,3393.0,625002
G250.16-1,EBF,3140.5,257254
G250.16-1,EG,3384.5,625002
G250.16-1,ES,3138.0,388424
G250.16-1,EPNES,3136.0,476462
G250.16-2,BF,3164.0,413751
G250.16-2,G,3399.0,625002
G250.16-2,EBF,3153.5,243191
G250.16-2,EG,3404.0,625002
G250.16-2,ES,3158.0,530645
G250.16-2,EPNES,3162.0,248087
G250.16-3,BF,3144.5,377332
G250.16-3,G,3385.5,625002
G250.16-3,EBF,3146.0,246069
G250.16-3,EG,3382.5,625002
G250.16-3,ES,3142.5,357980
G250.16-3,EPNES,3152.0,485389
